abbr_name,full_name,credits,semester,school
AAAS 103,Introduction to Africa,3,Spring2023,1
AAAS 104,Intro African-American Studies,3,Spring2023,1
AAAS 105,Intro to African History,3,Spring2023,1
AAAS 160,Introdctn West African History,3,Spring2023,1
AAAS 200,Directed Studies,3,Spring2023,1
AAAS 203,Culture and Health,3,Spring2023,1
AAAS 204,"Culture and Health, Honors",3,Spring2023,1
AAAS 250,Intro to Translation & Theory,3,Spring2023,1
AAAS 306,Black Expr U.S. Since Emancptn,3,Spring2023,1
AAAS 316,Mnistr&Mgcns:Blck Rel Slav Prs,3,Spring2023,1
AAAS 320,African Studies In:,3,Spring2023,1
AAAS 323,African-American Studies In:,3,Spring2023,1
AAAS 325,Popular Black Music,3,Spring2023,1
AAAS 332,Introdction African Literature,3,Spring2023,1
AAAS 351,Africa's Human Geographies,3,Spring2023,1
AAAS 353,Modern&Contmprary Afrcn Art,3,Spring2023,1
AAAS 355,African Theatre and Drama,3,Spring2023,1
AAAS 400,Readings in:,3,Spring2023,1
AAAS 415,Women and Islam,3,Spring2023,1
AAAS 460,Topc&Probm Africn&Afr-Amr Stds,3,Spring2023,1
AAAS 496,Field Experience,3,Spring2023,1
AAAS 502,Directed Language Study:,5,Spring2023,1
AAAS 503,Directed Language Study:,3,Spring2023,1
AAAS 504,Directed Language Study I:,3,Spring2023,1
AAAS 505,Directed Language Study II:,3,Spring2023,1
AAAS 520,African Studies in:,3,Spring2023,1
AAAS 523,African-American Studies in:,3,Spring2023,1
AAAS 534,The Rhetoric of Black Americns,3,Spring2023,1
AAAS 550,Senior Seminar in:,3,Spring2023,1
AAAS 598,Sexuality&Gender Africa Histry,3,Spring2023,1
AAAS 690,Investigation and Conference,3,Spring2023,1
AAAS 695,Honors Project in:,3,Spring2023,1
ABSC 100,Introd Applied Behavrl Science,3,Spring2023,1
ABSC 110,Appld Behvior Anlysis Prctitnr,3,Spring2023,1
ABSC 150,Community Leadership,3,Spring2023,1
ABSC 151,"Community Leadership, Honors",3,Spring2023,1
ABSC 160,Intro Child Behavior&Develpmnt,3,Spring2023,1
ABSC 250,Human Development,3,Spring2023,1
ABSC 304,Prin&Procedr Behavrl Intervtns,3,Spring2023,1
ABSC 308,Research Methods & Application,4,Spring2023,1
ABSC 309,Child Life: Theory & Practice,3,Spring2023,1
ABSC 310,Building Healthy Communities,3,Spring2023,1
ABSC 311,"Buildg Healthy Communities,Hnr",3,Spring2023,1
ABSC 350,Behvrl Treatmnt Childrn Autism,3,Spring2023,1
ABSC 360,"Drugs, Addiction, and Behavior",3,Spring2023,1
ABSC 410,Behvrl Apprchs Wrkng Adolscnts,3,Spring2023,1
ABSC 425,Tchg Apprentcshp Apld Behv Sci,3,Spring2023,1
ABSC 444,Curriclm Devlpmt Young Childrn,3,Spring2023,1
ABSC 469,Special Topics in:,3,Spring2023,1
ABSC 470,Orgnizatnl Behavior Managmnt,3,Spring2023,1
ABSC 489,Directed Readings in:,3,Spring2023,1
ABSC 499,Directed Research in:,3,Spring2023,1
ABSC 509,"Contmp Bhvrl Sci:Hst,Cncp&Cmpr",3,Spring2023,1
ABSC 535,Developmental Psychopathology,3,Spring2023,1
ABSC 599,Hnr&Thsis  Appld Bhvrl Science,5,Spring2023,1
ABSC 606,Spcl Projects in the Community,10,Spring2023,1
ABSC 675,Pctm Inf-Tdlr Cr&Erly Intrvn I,5,Spring2023,1
ABSC 676,Pctm Inf-Tod Cr&Erly Intrvn II,5,Spring2023,1
ABSC 677,Prac Preschl Eductn&Intrvntn I,5,Spring2023,1
ABSC 678,Prc Preschl Eductn&Intrvntn II,5,Spring2023,1
ABSC 679,Prct Bhvr-Anl Rsh Erly Chld Ed,6,Spring2023,1
ABSC 680,Prc Adv Lab Dv Bh Tr Chd Autsm,5,Spring2023,1
ABSC 682,Orgniztnl Behavior Mgmt Practm,5,Spring2023,1
ABSC 685,Prc Cmty-bd Trt Prg Disab Adlt,6,Spring2023,1
ABSC 690,Prc Commnity Health&Developmnt,6,Spring2023,1
ABSC 691,"Prc Commnty Health&Devlpmnt,Hn",6,Spring2023,1
ABSC 692,Practicum in Basic Research,3,Spring2023,1
ABSC 693,Prac Historcl&Conceptl Foundtn,6,Spring2023,1
ABSC 694,Practicum in Juvenile Problems,6,Spring2023,1
ABSC 695,Special Practicum in:,6,Spring2023,1
ABSC 696,"Special Practicum in, Honors:",6,Spring2023,1
